tit;qt_pixels_contorno;perimetro;qt_pixels_hull;area_ret_circuns;quem;quem2
j1;13871.5;741.914;18168;25032;0;0
j2;16955;842.725;23334.5;34028;0;0
j3;15999.5;709.772;21497.5;31512;0;0
j4;21471;934.867;29085;45784;0;0
j5;16097.5;877.796;22073;32868;0;0
j6;25808.5;1067.88;34164.5;48357;0;0
j7;19477;733.813;25101.5;35875;0;0
j8;16819;772.926;22923.5;33043;0;0
j9;21035.5;962.825;27659.5;35838;0;0
j10;21113.5;903.796;27590.5;40406;0;0
j11;20297;926.725;27554;38979;0;0
j12;20999.5;979.737;28506;43240;0;0
j13;27216;924.583;35584.5;53244;0;0
j14;23885.5;1179.62;34388;47436;0;0
j15;25922.5;1049.05;33671.5;49400;0;0
j16;22594;958.666;30158.5;45030;0;0
j17;23326.5;1009.25;30914.5;42864;0;0
j18;21299.5;1056.22;31135;45066;0;0
j19;20367;979.495;27745.5;40582;0;0
j20;25392;1102.61;36357;53088;0;0
j21;13631.5;803.169;18839.5;29484;0;0
j22;13838.5;815.713;18699;29088;0;0
j23;14186.5;887.997;20070.5;29400;0;0
j24;15392;1026.67;23101.5;34344;0;0
j25;15816.5;858.34;22331;29610;0;0
j26;14239;855.127;20724.5;28600;0;0
j27;16356;937.127;24730.5;35960;0;0
j28;16082;847.612;22296;32045;0;0
j29;16006.5;777.713;20661.5;30740;0;0
j30;22838;1183.58;33437.5;47075;0;0
j31;25382.5;1224.57;37438;51423;0;0
j32;24056;1186.75;34346.5;50274;0;0
j33;22033;1128.47;33374;48896;0;0
j34;19639;1444.92;32842;51972;0;0
j35;28236;1295.38;40381;59210;0;0
j36;24904;1331.18;37818;54236;0;0
j37;22571.5;1090.02;31937.5;49987;0;0
j38;20317;977.553;27388.5;38304;0;0
j39;21386;960.583;28680.5;39342;0;0
j40;23104.5;1124.91;32315.5;46458;0;0
g1;12809;1005.12;24634;40228;0;1
g2;11657;977.117;22812;36814;0;1
g3;11447.5;1009.9;23354.5;38962;0;1
g4;11166.5;1035.22;24781;39852;0;1
g5;11026.5;978.046;21635.5;34830;0;1
g6;12842;947.235;24964;40328;0;1
g7;13692;979.661;25508.5;39765;0;1
g8;12255;1127.63;26404;41919;0;1
g9;11302;1033.4;22510.5;35700;0;1
g10;11749.5;971.561;22643.5;35670;0;1
g11;9606.5;850.85;18335;29083;0;1
g12;10348.5;897.477;20647.5;32103;0;1
g13;14007;971.377;25793.5;39498;0;1
g14;16410.5;1217.81;31211;49305;0;1
g15;13462;1135.63;28676;44528;0;1
g16;24923.5;1717.06;55063.5;87048;0;1
g17;24950;1517.88;51625.5;78792;0;1
g18;28650.5;1689.94;57126.5;87655;0;1
g19;32302;1817.32;67146.5;103730;0;1
g20;34219.5;2028.82;76050;120396;0;1
i1;6524;419.362;8471;10947;1;0
i2;7064;479.789;9558;12835;1;0
i3;6882;439.789;9101;12696;1;0
i4;7826;502;10310;13950;1;0
i5;7459.5;473.203;9998.5;12994;1;0
i6;7167.5;449.889;9283;12496;1;0
i7;7133;443.647;9440;11868;1;0
i8;6511;445.647;8754;11100;1;0
i9;6247.5;433.404;8311.5;10956;1;0
i10;5891.5;412.09;7538.5;10480;1;0
i11;6763;444.132;8895.5;11016;1;0
i12;6280;432.676;8387.5;10720;1;0
i13;6363.5;429.404;8325.5;11135;1;0
i14;5985.5;426.576;8017.5;10395;1;0
i15;6717;452.333;8946.5;11703;1;0
i16;6686;457.647;8869.5;12240;1;0
i17;7249.5;448.86;9459.5;12408;1;0
i18;6334.5;448.919;8462;10716;1;0
i19;6301;456.818;8355.5;10350;1;0
i20;6839.5;425.747;8298;11480;1;0
i21;10049.5;502.174;12592.5;16200;1;0
i22;20277.5;886.992;29554;40775;1;0
i23;21854.5;896.365;30610.5;44144;1;0
m1;5280;472.676;6239.5;8446;1;1
m2;5236.5;418.919;6165.5;7750;1;1
m3;5227.5;434.434;6221;7920;1;1
m4;5301.5;440.09;6568;8384;1;1
m5;4908;385.078;5676;7006;1;1
m6;5038.5;397.12;6368;8584;1;1
m7;5985.5;438.919;7184;9398;1;1
m8;6828;499.304;8147.5;10074;1;1
m9;6905;569.103;8896.5;11537;1;1
m10;6082;404.392;7317;10004;1;1
m11;7322;583.931;9239;13490;1;1
m12;7805.5;566.316;9800.5;11680;1;1
m13;7480;545.245;9360.5;12080;1;1
m14;5875.5;545.487;7507.5;10541;1;1
m15;7260.5;609.085;9804.5;13244;1;1
m16;7547;592.416;9425.5;12400;1;1
m17;10578.5;785.914;14178;18018;1;1
m18;10141.5;678.6;12638;15660;1;1
m19;11797.5;709.428;14629;20300;1;1
m20;10983;743.127;14206.5;16720;1;1
