tit;qt_pixels_contorno;perimetro;qt_pixels_hull;area_ret_circuns;quem;quem2
j17;23326.5;1009.25;30914.5;42864;0;0
j18;21299.5;1056.22;31135;45066;0;0
j19;20367;979.495;27745.5;40582;0;0
j20;25392;1102.61;36357;53088;0;0
j21;13631.5;803.169;18839.5;29484;0;0
j22;13838.5;815.713;18699;29088;0;0
j23;14186.5;887.997;20070.5;29400;0;0
j24;15392;1026.67;23101.5;34344;0;0
j25;15816.5;858.34;22331;29610;0;0
j26;14239;855.127;20724.5;28600;0;0
g11;9606.5;850.85;18335;29083;0;1
g12;10348.5;897.477;20647.5;32103;0;1
g13;14007;971.377;25793.5;39498;0;1
g14;16410.5;1217.81;31211;49305;0;1
g15;13462;1135.63;28676;44528;0;1
g16;24923.5;1717.06;55063.5;87048;0;1
g17;24950;1517.88;51625.5;78792;0;1
g18;28650.5;1689.94;57126.5;87655;0;1
g19;32302;1817.32;67146.5;103730;0;1
g20;34219.5;2028.82;76050;120396;0;1
i14;5985.5;426.576;8017.5;10395;1;0
i15;6717;452.333;8946.5;11703;1;0
i16;6686;457.647;8869.5;12240;1;0
i17;7249.5;448.86;9459.5;12408;1;0
i18;6334.5;448.919;8462;10716;1;0
i19;6301;456.818;8355.5;10350;1;0
i20;6839.5;425.747;8298;11480;1;0
i21;10049.5;502.174;12592.5;16200;1;0
i22;20277.5;886.992;29554;40775;1;0
i23;21854.5;896.365;30610.5;44144;1;0
m11;7322;583.931;9239;13490;1;1
m12;7805.5;566.316;9800.5;11680;1;1
m13;7480;545.245;9360.5;12080;1;1
m14;5875.5;545.487;7507.5;10541;1;1
m15;7260.5;609.085;9804.5;13244;1;1
m16;7547;592.416;9425.5;12400;1;1
m17;10578.5;785.914;14178;18018;1;1
m18;10141.5;678.6;12638;15660;1;1
m19;11797.5;709.428;14629;20300;1;1
m20;10983;743.127;14206.5;16720;1;1
