tit;qt_pixels_contorno;perimetro;qt_pixels_hull;area_ret_circuns;quem;quem2
j27;16356;937.127;24730.5;35960;0;0
j28;16082;847.612;22296;32045;0;0
j29;16006.5;777.713;20661.5;30740;0;0
j30;22838;1183.58;33437.5;47075;0;0
j31;25382.5;1224.57;37438;51423;0;0
g1;12809;1005.12;24634;40228;0;1
g2;11657;977.117;22812;36814;0;1
g3;11447.5;1009.9;23354.5;38962;0;1
g4;11166.5;1035.22;24781;39852;0;1
g5;11026.5;978.046;21635.5;34830;0;1
i1;6524;419.362;8471;10947;1;0
i2;7064;479.789;9558;12835;1;0
i3;6882;439.789;9101;12696;1;0
i4;7826;502;10310;13950;1;0
i5;7459.5;473.203;9998.5;12994;1;0
m1;5280;472.676;6239.5;8446;1;1
m2;5236.5;418.919;6165.5;7750;1;1
m3;5227.5;434.434;6221;7920;1;1
m4;5301.5;440.09;6568;8384;1;1
m5;4908;385.078;5676;7006;1;1
